id,title,year,url,user_score,votes
264055,Draftosaurus,2019,/boardgame/264055/draftosaurus,7.14,9466
30869,Thebes,2007,/boardgame/30869/thebes,7.13,9504
174785,Mare Nostrum: Empires,2016,/boardgame/174785/mare-nostrum-empires,7.55,3819
269511,Cooper Island,2019,/boardgame/269511/cooper-island,7.65,3175
135219,The Battle of Five Armies,2014,/boardgame/135219/battle-five-armies,7.88,2556
193949,Star Trek: Ascendancy,2016,/boardgame/193949/star-trek-ascendancy,7.82,3014
339789,Welcome to the Moon,2021,/boardgame/339789/welcome-moon,8.15,1923
119432,Snowdonia,2012,/boardgame/119432/snowdonia,7.35,4797
1513,The Republic of Rome,1990,/boardgame/1513/republic-rome,7.54,4049
37904,Formula D,2008,/boardgame/37904/formula-d,7.01,18340
73171,Earth Reborn,2010,/boardgame/73171/earth-reborn,7.64,3314
163166,One Night Ultimate Werewolf: Daybreak,2015,/boardgame/163166/one-night-ultimate-werewolf-daybreak,7.34,5422
10547,Betrayal at House on the Hill,2004,/boardgame/10547/betrayal-house-hill,7.05,41565
283393,Aquatica,2019,/boardgame/283393/aquatica,7.43,4084
224710,Zombicide: Green Horde,2018,/boardgame/224710/zombicide-green-horde,7.74,3583
198953,Pax Renaissance,2016,/boardgame/198953/pax-renaissance,8.02,2157
1353,Time's Up!,1999,/boardgame/1353/times,7.29,5437
209778,Magic Maze,2017,/boardgame/209778/magic-maze,7.00,18415
121408,Trains,2012,/boardgame/121408/trains,7.15,8067
24508,Taluva,2006,/boardgame/24508/taluva,7.15,8245
46,Medici,1995,/boardgame/46/medici,7.16,7649
5782,Coloretto,2003,/boardgame/5782/coloretto,6.98,19421
206480,Imperial Struggle,2020,/boardgame/206480/imperial-struggle,8.33,1830
111799,Cuba Libre,2013,/boardgame/111799/cuba-libre,7.69,2862
227935,Wonderland's War,2022,/boardgame/227935/wonderlands-war,8.37,1783
58281,Summoner Wars,2009,/boardgame/58281/summoner-wars,7.24,6407
180511,Shakespeare,2015,/boardgame/180511/shakespeare,7.42,4116
266121,Unlock!: Heroic Adventures,2018,/boardgame/266121/unlock-heroic-adventures,7.68,2813
13004,The Downfall of Pompeii,2004,/boardgame/13004/downfall-pompeii,7.15,7901
239942,Black Rose Wars,2019,/boardgame/239942/black-rose-wars,8.06,2443
21763,Mr. Jack,2006,/boardgame/21763/mr-jack,7.00,16672
343905,Boonlake,2021,/boardgame/343905/boonlake,7.77,2550
3201,Lord of the Rings: The Confrontation,2002,/boardgame/3201/lord-rings-confrontation,7.20,6732
50750,Belfort,2011,/boardgame/50750/belfort,7.22,6187
107529,Kingdom Builder,2011,/boardgame/107529/kingdom-builder,6.95,21627
296912,Fort,2020,/boardgame/296912/fort,7.22,6413
150997,Shadows of Brimstone: Swamps of Death,2014,/boardgame/150997/shadows-brimstone-swamps-death,8.04,2321
121288,Dixit: Journey,2012,/boardgame/121288/dixit-journey,7.40,4418
432,6 nimmt!,1994,/boardgame/432/6-nimmt,6.94,24728
699,HeroQuest,1989,/boardgame/699/heroquest,7.16,12098
171499,Cacao,2015,/boardgame/171499/cacao,7.09,9681
30380,Cuba,2007,/boardgame/30380/cuba,7.13,8113
70512,Luna,2010,/boardgame/70512/luna,7.30,4820
