id,best_players,min_players,max_playtime,weight
25417,2.0,2,60,2.7663
150145,5.0,2,30,1.6849
62222,2.0,2,90,2.7336
194607,2.0,2,45,2.2516
157969,5.0,3,60,1.6517
5404,5.0,3,90,3.0344
202426,6.0,4,180,3.5556
318084,4.0,2,60,2.224
171,2.0,2,0,3.6809
256730,3.0,2,120,3.8874
17226,5.0,2,240,3.3407
712,2.0,2,180,2.9841
83330,5.0,2,180,3.2432
146791,4.0,1,120,3.3462
169427,4.0,1,60,4.025
136063,4.0,2,45,2.0464
156858,3.0,1,90,2.4067
226522,2.0,1,120,2.6833
233312,4.0,2,90,2.4245
293141,5.0,2,30,1.6667
128996,2.0,2,120,2.2422
264241,2.0,2,20,1.8202
158899,6.0,2,40,1.8246
177639,2.0,2,30,2.0744
318184,2.0,1,120,3.5072
478,5.0,2,60,2.0524
62227,2.0,1,180,3.6314
298069,4.0,2,60,2.1579
162082,3.0,2,90,2.8427
98778,4.0,2,25,1.6941
277085,4.0,2,20,1.1304
15062,7.0,3,80,2.5664
262211,2.0,1,180,4.3195
20437,4.0,2,90,2.354
205398,5.0,2,60,2.0239
274638,2.0,2,20,1.9211
43570,1.0,1,25,2.1504
13,4.0,3,120,2.3085
193042,6.0,2,30,1.2273
144189,4.0,1,180,4.0992
232414,3.0,2,90,2.8188
240196,5.0,3,90,2.8767
95527,4.0,2,150,4.3014
119506,3.0,1,120,2.9036
191862,4.0,2,40,2.0068
105551,4.0,2,240,3.7351
65781,3.0,2,90,2.8822
206941,4.0,2,80,2.7863
245654,2.0,1,30,1.4663
123123,2.0,1,45,3.0875
97786,4.0,2,90,2.5844
290236,4.0,1,30,1.6875
269144,5.0,2,60,2.2086
12942,5.0,3,20,1.1351
180974,3.0,2,45,1.7671
144797,3.0,2,150,3.798
127398,4.0,2,90,2.7617
171668,5.0,2,30,1.973
221965,2.0,2,30,1.5796
262215,3.0,1,150,3.5023
21790,4.0,2,60,2.2583
258210,2.0,1,45,1.8617
125618,4.0,2,60,2.2372
36553,6.0,4,60,1.1889
17405,4.0,3,240,3.9521
133848,5.0,2,60,3.1189
299659,4.0,2,240,3.7264
11,5.0,2,45,1.6743
156009,4.0,2,50,1.6226
31999,2.0,2,60,2.5238
102652,4.0,2,60,2.5062
875,2.0,1,240,4.1872
142379,4.0,1,120,3.69
9674,2.0,1,45,1.9123
147949,8.0,3,10,1.3818
90419,4.0,2,75,2.4424
256680,4.0,1,120,2.6774
163968,3.0,2,60,2.7626
58421,4.0,2,90,2.8338
133473,4.0,2,15,1.1597
18,6.0,2,120,2.4292
256952,4.0,2,15,1.3761
31730,4.0,2,60,2.7807
232043,2.0,2,25,2.0588
6249,3.0,2,60,2.1036
27173,3.0,2,60,2.5423
260180,3.0,1,40,1.53
42052,4.0,2,135,4.213
181530,2.0,2,180,2.6935
34119,3.0,1,120,2.1565
97842,4.0,2,75,2.7255
183251,4.0,2,40,1.4434
175095,1.0,1,120,3.8108
91312,4.0,2,60,2.2052
128780,4.0,1,120,3.6211
475,4.0,2,90,2.9923
151022,2.0,1,45,2.2013
133038,4.0,1,90,2.7131
252328,2.0,2,45,3.0816
192836,2.0,1,360,4.0818
84419,2.0,1,180,3.3867
22827,4.0,2,240,3.8522
27746,5.0,3,90,2.755
196326,6.0,2,30,1.3158
153938,5.0,2,30,1.4734
15363,4.0,2,90,2.232
284742,3.0,1,90,2.7748
218603,3.0,2,60,2.2663
141572,2.0,2,45,1.9888
2346,2.0,2,30,2.6632
247367,2.0,2,30,1.76
159508,4.0,2,100,3.686
3685,2.0,2,180,2.969
284435,2.0,1,60,1.8642
28023,6.0,2,60,1.6537
216600,3.0,1,60,2.181
170561,3.0,1,45,2
155703,4.0,2,60,2.4303
172308,4.0,2,75,2.4007
503,3.0,2,45,2.2031
220,5.0,3,30,1.495
117959,4.0,2,30,1.1823
4390,3.0,2,35,1.9196
183562,2.0,2,45,2.8545
9625,7.0,2,240,3.5915
39351,5.0,3,120,3.5249
160010,4.0,2,90,2.7759
39938,4.0,2,90,3.1833
42215,4.0,2,60,2.1277
140603,5.0,3,120,2.9224
6472,5.0,3,180,3.4493
205359,2.0,2,30,2.2976
245961,2.0,1,45,2.5574
212445,2.0,2,120,3.5208
270673,4.0,2,20,1.1818
248490,4.0,1,120,2.4268
42776,2.0,1,180,2.8816
216734,2.0,2,40,2.0875
169255,2.0,2,120,3.5214
265402,4.0,2,90,2.8125
113924,3.0,1,60,2.5418
257501,2.0,2,45,2.4623
131357,5.0,2,15,1.4123
143519,4.0,2,60,2.4432
303057,4.0,2,60,2.4609
130960,3.0,2,360,3.3727
264055,4.0,2,15,1.257
30869,4.0,2,60,2.1568
174785,5.0,3,120,3.0161
269511,3.0,1,120,4.185
135219,2.0,2,240,3.5874
193949,3.0,3,180,3.1333
339789,4.0,1,30,2.4262
119432,4.0,1,90,3
1513,6.0,1,300,4.3527
37904,8.0,2,60,1.9759
73171,2.0,2,180,3.897
163166,7.0,3,10,1.4112
10547,6.0,3,60,2.387
283393,3.0,1,60,2.2614
224710,3.0,1,60,2.4933
198953,3.0,2,120,4.4307
1353,6.0,4,90,1.2036
209778,4.0,1,15,1.7788
121408,3.0,2,45,2.3831
24508,2.0,2,45,2.2638
46,6.0,2,60,2.2534
5782,4.0,2,30,1.2818
206480,2.0,2,240,3.9503
111799,4.0,1,180,3.5602
227935,4.0,2,125,2.8732
58281,2.0,2,60,2.3146
180511,3.0,1,90,2.9943
266121,2.0,1,60,2.2581
13004,4.0,2,45,1.8465
239942,4.0,2,90,3.4579
21763,2.0,2,30,2.175
343905,3.0,1,160,3.7552
3201,2.0,2,30,2.1895
50750,4.0,2,120,3.0466
107529,4.0,2,45,2.0622
296912,3.0,2,40,2.425
150997,4.0,1,180,3.3882
121288,6.0,3,30,1.2615
432,6.0,2,45,1.2014
699,5.0,2,90,2.151
171499,3.0,2,45,1.8223
30380,4.0,2,120,3.2609
70512,4.0,1,100,3.3366
88,4.0,2,60,2.8639
322708,4.0,1,180,2.6629
203416,2.0,1,90,2.8028
100423,4.0,1,90,2.3506
332800,2.0,2,60,2.4792
113294,4.0,1,10,1.4817
126792,4.0,2,120,3.4557
134726,,2,45,2.1292
116998,3.0,1,45,2.7397
170624,4.0,2,60,2.431
323612,3.0,1,120,3.7237
258036,6.0,2,60,2.2069
190082,2.0,2,60,2.1215
163839,4.0,2,180,4.602
20963,5.0,2,180,2.9517
160495,4.0,2,120,3.8319
29603,1.0,1,480,3.4714
155624,3.0,2,120,2.3873
213893,2.0,2,80,2.9562
123540,4.0,2,45,1.7503
65532,4.0,1,90,2.7168
173064,1.0,1,180,3.7247
154825,4.0,2,240,4.5894
290359,2.0,2,60,2.2745
271518,3.0,2,60,2.425
153016,12.0,4,30,1.0698
87890,4.0,2,90,3.5785
233247,4.0,2,120,3.1061
244115,2.0,2,30,1.9839
162007,4.0,2,60,2.5481
193558,4.0,2,100,2.9683
181521,4.0,1,60,2.7283
146278,2.0,2,60,2.839
2955,4.0,2,90,2.6923
3307,5.0,3,150,3.3094
242639,4.0,2,45,2.2581
168584,4.0,2,20,1.197
69789,2.0,1,30,2.1422
72321,4.0,1,90,2.5818
165401,2.0,2,150,3.7191
15364,5.0,3,75,2.3571
143741,7.0,3,15,1.2748
232219,2.0,1,45,1.9685
2398,2.0,2,30,1.9029
135779,7.0,5,20,1.1389
156336,1.0,1,15,1.5766
9823,2.0,2,120,3.76
231581,3.0,1,120,2.9226
132018,3.0,1,300,3.3285
270970,3.0,2,45,2.1266
7717,2.0,2,30,1.9834
242574,4.0,2,45,2.1157
256382,3.0,2,50,2.4427
167400,2.0,2,120,2.8966
226320,4.0,1,60,2
73761,4.0,1,60,2.258
22345,4.0,2,60,2.3688
